id,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,aff_mul,male,kids,_est_A,fore,f0,f1,f2,f00,f10,f20,affair
4,0,male,37,10,no,3,18,7,4,0,1,0,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
5,0,female,27,4,no,4,14,6,4,0,0,0,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
6,3,male,27,1.5,no,3,18,4,4,2,1,0,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,1
11,0,female,32,15,yes,1,12,1,4,0,0,1,1,.79824609,1.6307718,-1.2344916,0,0,-2.8652632,-1.6307718,0
12,3,female,27,4,yes,3,17,1,5,2,0,1,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,1
16,0,male,57,15,yes,5,18,6,5,0,1,1,1,.83668548,1.8194846,-1.5892519,0,0,-3.4087365,-1.8194846,0
23,0,male,22,1,no,2,17,6,3,0,1,0,1,.64383733,.92862183,-.91597188,0,0,-1.8445938,-.92862183,0
29,0,female,32,1.5,no,2,17,5,5,0,0,0,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,0
43,7,male,37,15,yes,5,18,6,2,2,1,1,1,.51588571,.18817686,-2.019593,0,0,-2.2077699,-.18817686,1
44,0,female,22,1,no,2,12,1,3,0,0,0,1,.702847,1.1172603,-1.2302195,0,0,-2.3474798,-1.1172603,0
45,0,male,57,15,yes,2,14,4,4,0,1,1,1,.74868,1.2151998,-2.0281372,0,0,-3.2433369,-1.2151998,0
47,0,female,32,15,yes,4,16,1,2,0,0,1,1,.57640016,.42220202,-2.112262,0,0,-2.5344641,-.42220202,0
49,0,male,22,1.5,no,4,14,4,5,0,1,0,1,.81198537,2.1371915,-.038201328,0,0,-2.1753929,-2.1371915,0
50,0,male,37,15,yes,2,20,7,2,0,1,1,1,.51588571,.18817686,-2.019593,0,0,-2.2077699,-.18817686,0
53,12,female,32,10,yes,3,17,5,2,2,0,1,1,.57640016,.42220202,-2.112262,0,0,-2.5344641,-.42220202,1
55,0,male,27,4,yes,4,18,6,4,0,1,1,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,0
64,0,male,47,15,yes,5,17,6,4,0,1,1,1,.7539022,1.3059732,-1.5849799,0,0,-2.8909531,-1.3059732,0
67,1,male,22,1,no,4,16,5,5,1,1,0,1,.81198537,2.1371915,-.038201328,0,0,-2.1753929,-2.1371915,1
79,1,female,22,1.5,yes,2,14,1,5,1,0,1,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,1
80,0,female,22,1.5,no,2,17,5,4,0,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,0
86,0,female,27,4,no,4,14,5,4,0,0,0,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
93,0,female,37,15,yes,1,17,5,5,0,0,1,1,.86772609,2.1896698,-1.017185,0,0,-3.2068548,-2.1896698,0
108,0,female,37,15,yes,2,18,4,3,0,0,1,1,.69868749,.9811002,-1.8949555,0,0,-2.8760557,-.9811002,0
114,0,female,22,1,no,3,16,5,4,0,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,0
115,0,female,22,1.5,no,2,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
116,0,female,27,10,yes,2,14,1,5,0,0,1,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
122,12,male,37,15,yes,4,14,5,2,2,1,1,1,.51588571,.18817686,-2.019593,0,0,-2.2077699,-.18817686,1
123,0,female,22,1.5,no,2,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
126,7,female,22,1.5,no,2,14,3,4,2,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,1
127,0,female,22,1.5,no,2,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
129,0,female,27,10,yes,4,16,5,4,0,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
133,2,male,37,15,yes,2,18,6,4,2,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,1
134,0,female,32,10,yes,3,14,1,5,0,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,0
137,0,male,37,4,yes,2,20,6,4,0,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
138,3,female,32,15,yes,4,12,3,2,2,0,1,1,.57640016,.42220202,-2.112262,0,0,-2.5344641,-.42220202,1
139,0,female,22,1.5,no,2,18,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
147,0,female,27,10,no,4,16,1,5,0,0,0,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
151,0,male,42,15,yes,5,20,6,4,0,1,1,1,.75465506,1.3513598,-1.3634012,0,0,-2.714761,-1.3513598,0
153,0,male,27,4,yes,3,16,5,5,0,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
154,1,female,37,15,yes,4,14,4,2,1,0,1,1,.5706017,.37681532,-2.3338406,0,0,-2.7106559,-.37681532,1
155,0,female,27,4,yes,3,17,5,4,0,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
159,7,female,42,15,yes,3,17,1,4,2,0,1,1,.79717439,1.5399984,-1.6776489,0,0,-3.2176473,-1.5399984,1
162,0,male,42,15,yes,4,20,6,3,0,1,1,1,.64437896,.74707502,-1.8022865,0,0,-2.5493615,-.74707502,0
163,0,female,22,1.5,no,3,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
165,0,male,27,1,no,4,17,6,4,0,1,0,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,0
168,0,female,42,15,yes,5,14,5,4,0,0,1,1,.79717439,1.5399984,-1.6776489,0,0,-3.2176473,-1.5399984,0
170,0,male,32,4,yes,1,18,6,4,0,1,1,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,0
172,0,female,22,1.5,no,4,16,5,3,0,0,0,1,.702847,1.1172603,-1.2302195,0,0,-2.3474798,-1.1172603,0
174,12,female,42,15,yes,5,9,4,1,2,0,1,1,.42025799,-.27285627,-2.9943047,0,0,-2.7214484,.27285627,1
176,12,male,37,10,yes,2,20,6,2,2,1,1,1,.51588571,.18817686,-2.019593,0,0,-2.2077699,-.18817686,1
181,12,female,32,15,yes,3,14,1,2,2,0,1,1,.57640016,.42220202,-2.112262,0,0,-2.5344641,-.42220202,1
182,3,male,27,4,no,1,18,6,5,2,1,0,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,1
184,0,female,42,15,yes,3,12,1,4,0,0,1,1,.79717439,1.5399984,-1.6776489,0,0,-3.2176473,-1.5399984,0
186,7,male,37,10,yes,2,18,7,3,2,1,1,1,.64686656,.79246175,-1.5807078,0,0,-2.3731694,-.79246175,1
187,0,female,22,4,no,4,17,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
189,7,female,27,4,no,3,17,5,5,2,0,0,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,1
192,0,male,22,1.5,yes,1,14,3,5,0,1,1,1,.81198537,2.1371915,-.038201328,0,0,-2.1753929,-2.1371915,0
194,0,female,22,1,no,3,16,1,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
204,1,male,42,15,yes,4,16,5,5,1,1,1,1,.83500403,1.9556447,-.9245159,0,0,-2.8801608,-1.9556447,1
210,0,male,32,10,yes,5,20,6,5,0,1,1,1,.82710719,2.0464182,-.48135862,0,0,-2.5277767,-2.0464182,0
215,1,female,47,15,yes,5,14,4,5,1,0,1,1,.86877042,2.0988965,-1.4603423,0,0,-3.5592387,-2.0988965,1
217,0,male,52,15,yes,5,18,6,3,0,1,1,1,.63544768,.65630162,-2.2454438,0,0,-2.9017453,-.65630162,0
220,0,female,22,1,no,5,14,1,4,0,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,0
224,0,female,27,4,yes,2,18,6,1,0,0,1,1,.442855,-.13669613,-2.3295686,0,0,-2.1928725,.13669613,0
227,0,female,32,10,yes,5,17,5,3,0,0,1,1,.70151907,1.0264869,-1.6733768,0,0,-2.6998637,-1.0264869,0
228,0,male,22,4,no,3,16,5,5,0,1,0,1,.81198537,2.1371915,-.038201328,0,0,-2.1753929,-2.1371915,0
232,7,female,27,4,yes,3,18,5,4,2,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,1
233,1,female,27,10,yes,5,14,1,4,1,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,1
239,0,female,27,10,yes,4,18,6,5,0,0,1,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
241,0,female,42,15,yes,2,18,5,4,0,0,1,1,.79717439,1.5399984,-1.6776489,0,0,-3.2176473,-1.5399984,0
245,0,male,27,1.5,yes,4,16,3,5,0,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
249,0,male,42,15,yes,2,20,6,4,0,1,1,1,.75465506,1.3513598,-1.3634012,0,0,-2.714761,-1.3513598,0
252,12,male,27,1.5,yes,3,17,5,4,2,1,1,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,1
253,12,female,27,10,yes,4,14,6,2,2,0,1,1,.5810256,.46758875,-1.8906834,0,0,-2.3582721,-.46758875,1
262,0,female,22,1,no,5,14,3,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
265,0,male,32,10,yes,2,20,6,4,0,1,1,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,0
267,0,male,27,4,yes,5,20,6,5,0,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
269,0,male,27,10,yes,4,20,6,4,0,1,1,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,0
271,0,male,22,4,no,1,18,5,5,0,1,0,1,.81198537,2.1371915,-.038201328,0,0,-2.1753929,-2.1371915,0
274,3,female,42,15,yes,4,16,5,4,2,0,1,1,.79717439,1.5399984,-1.6776489,0,0,-3.2176473,-1.5399984,1
275,7,female,27,10,yes,4,12,7,3,2,0,1,1,.70297229,1.0718737,-1.4517982,0,0,-2.5236719,-1.0718737,1
277,0,female,37,15,yes,4,14,3,1,0,0,1,1,.42847249,-.22746955,-2.7727261,0,0,-2.5452564,.22746955,0
287,1,male,27,1.5,no,2,18,5,2,1,1,0,1,.52274734,.27895027,-1.5764358,0,0,-1.855386,-.27895027,1
288,1,male,32,4,no,4,20,6,4,1,1,0,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,1
290,0,male,22,1.5,yes,5,16,4,4,0,1,1,1,.7407974,1.5329068,-.4770866,0,0,-2.0099933,-1.5329068,0
292,0,female,37,15,yes,4,17,1,5,0,0,1,1,.86772609,2.1896698,-1.017185,0,0,-3.2068548,-2.1896698,0
293,0,female,27,1,no,4,17,5,4,0,0,0,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
295,0,male,32,10,yes,4,20,6,4,0,1,1,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,0
299,0,female,47,15,yes,5,14,7,2,0,0,1,1,.55618078,.28604192,-2.776998,0,0,-3.06304,-.28604192,0
320,0,male,37,10,yes,3,20,6,4,0,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
321,0,female,22,1,no,2,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
324,0,male,27,4,no,2,18,4,5,0,1,0,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
325,1,female,27,10,yes,3,14,1,3,1,0,1,1,.70297229,1.0718737,-1.4517982,0,0,-2.5236719,-1.0718737,1
328,3,female,32,10,yes,4,14,1,4,2,0,1,1,.79824609,1.6307718,-1.2344916,0,0,-2.8652632,-1.6307718,1
334,0,male,32,10,no,4,20,6,4,0,1,0,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,0
344,3,male,27,4,yes,2,18,7,2,2,1,1,1,.52274734,.27895027,-1.5764358,0,0,-1.855386,-.27895027,1
351,0,male,42,15,yes,2,17,3,5,0,1,1,1,.83500403,1.9556447,-.9245159,0,0,-2.8801608,-1.9556447,0
353,1,female,17.5,1,no,5,14,4,5,1,0,0,1,.85158926,2.366678,-.15302821,0,0,-2.5197062,-2.366678,1
354,1,female,32,10,yes,4,18,1,5,1,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,1
355,0,male,37,10,yes,4,20,6,4,0,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
361,0,female,47,15,yes,3,17,6,5,0,0,1,1,.86877042,2.0988965,-1.4603423,0,0,-3.5592387,-2.0988965,0
362,0,female,22,1.5,no,5,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
366,0,female,27,1.5,no,2,16,6,4,0,0,0,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
367,7,female,32,10,yes,2,17,6,4,2,0,1,1,.79824609,1.6307718,-1.2344916,0,0,-2.8652632,-1.6307718,1
369,7,male,37,15,yes,2,20,6,4,2,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,1
370,0,female,27,4,no,3,17,5,5,0,0,0,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
374,0,female,32,10,yes,5,14,4,5,0,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,0
378,0,female,22,1,no,2,12,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
381,0,male,47,15,yes,4,14,4,3,0,1,1,1,.64050931,.70168829,-2.023865,0,0,-2.7255535,-.70168829,0
382,0,male,32,15,yes,1,14,5,5,0,1,1,1,.82710719,2.0464182,-.48135862,0,0,-2.5277767,-2.0464182,0
383,0,male,27,10,yes,4,16,5,5,0,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
384,0,female,22,1.5,yes,3,16,5,5,0,0,1,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
390,7,female,37,10,no,1,20,5,3,2,0,0,1,.69868749,.9811002,-1.8949555,0,0,-2.8760557,-.9811002,1
392,12,female,32,10,yes,2,16,5,5,2,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,1
400,0,male,27,4,yes,3,17,6,5,0,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
403,0,female,22,1.5,no,3,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
409,0,male,57,15,yes,2,14,7,2,0,1,1,1,.48834574,.0066300239,-2.9059076,0,0,-2.9125376,-.0066300239,0
412,0,male,17.5,1.5,yes,3,18,6,5,0,1,1,1,.80234843,2.1780396,.16121945,0,0,-2.0168202,-2.1780396,0
413,0,male,57,15,yes,4,20,6,5,0,1,1,1,.83668548,1.8194846,-1.5892519,0,0,-3.4087365,-1.8194846,0
416,0,female,22,1,no,2,16,3,4,0,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,0
418,0,male,42,4,no,4,17,3,3,0,1,0,1,.64437896,.74707502,-1.8022865,0,0,-2.5493615,-.74707502,0
422,0,female,22,1.5,yes,4,12,1,5,0,0,1,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
423,7,male,52,15,yes,2,20,6,4,2,1,1,1,.75185621,1.2605865,-1.8065585,0,0,-3.0671449,-1.2605865,1
432,7,female,42,15,yes,1,12,1,3,2,0,1,1,.69465744,.93571347,-2.116534,0,0,-3.0522475,-.93571347,1
435,0,female,22,1,no,1,17,6,4,0,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,0
436,1,male,52,15,yes,2,20,6,3,1,1,1,1,.63544768,.65630162,-2.2454438,0,0,-2.9017453,-.65630162,1
439,0,female,32,15,yes,4,17,5,5,0,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,0
445,0,female,27,1.5,no,3,18,5,2,0,0,0,1,.5810256,.46758875,-1.8906834,0,0,-2.3582721,-.46758875,0
447,0,female,22,1.5,yes,3,14,1,5,0,0,1,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
448,0,female,37,15,yes,3,14,1,4,0,0,1,1,.79831767,1.5853851,-1.4560702,0,0,-3.0414553,-1.5853851,0
449,0,female,32,15,yes,4,14,3,4,0,0,1,1,.79824609,1.6307718,-1.2344916,0,0,-2.8652632,-1.6307718,0
478,0,male,37,10,yes,2,14,5,3,0,1,1,1,.64686656,.79246175,-1.5807078,0,0,-2.3731694,-.79246175,0
482,0,male,37,10,yes,4,16,5,4,0,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
483,2,male,37,15,yes,3,18,6,5,2,1,1,1,.83185327,2.0010314,-.7029373,0,0,-2.7039688,-2.0010314,1
486,0,male,57,15,yes,5,20,5,3,0,1,1,1,.629363,.61091489,-2.4670224,0,0,-3.0779374,-.61091489,0
489,0,male,27,1,no,1,16,3,4,0,1,0,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,0
490,0,female,42,15,yes,5,14,1,5,0,0,1,1,.8687374,2.1442833,-1.2387636,0,0,-3.3830469,-2.1442833,0
491,0,male,57,15,yes,3,16,6,1,0,1,1,1,.34698588,-.59765482,-3.3447928,0,0,-2.747138,.59765482,0
492,0,male,37,10,yes,1,16,6,4,0,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
503,0,male,37,15,yes,3,17,5,5,0,1,1,1,.83185327,2.0010314,-.7029373,0,0,-2.7039688,-2.0010314,0
508,0,male,37,15,yes,4,20,6,5,0,1,1,1,.83185327,2.0010314,-.7029373,0,0,-2.7039688,-2.0010314,0
509,0,female,27,10,yes,5,14,1,5,0,0,1,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
512,0,male,37,10,yes,2,18,6,4,0,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,0
513,12,female,22,4,no,3,12,3,4,2,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,1
515,0,female,22,1,no,4,12,4,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
516,12,male,27,10,yes,1,18,6,2,2,1,1,1,.52274734,.27895027,-1.5764358,0,0,-1.855386,-.27895027,1
517,0,male,57,15,yes,5,20,6,5,0,1,1,1,.83668548,1.8194846,-1.5892519,0,0,-3.4087365,-1.8194846,0
518,1,male,27,4,yes,3,18,5,5,1,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,1
520,12,male,47,15,yes,4,17,6,5,2,1,1,1,.8367492,1.9102581,-1.1460946,0,0,-3.0563526,-1.9102581,1
526,12,female,42,15,yes,4,12,1,1,2,0,1,1,.42025799,-.27285627,-2.9943047,0,0,-2.7214484,.27285627,1
528,7,male,27,4,no,3,14,3,4,2,1,0,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,1
532,0,female,37,15,yes,4,18,6,4,0,0,1,1,.79831767,1.5853851,-1.4560702,0,0,-3.0414553,-1.5853851,0
533,0,male,22,4,yes,4,14,6,4,0,1,1,1,.7407974,1.5329068,-.4770866,0,0,-2.0099933,-1.5329068,0
535,0,male,27,10,yes,4,18,5,4,0,1,1,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,0
537,0,male,57,15,yes,4,20,5,4,0,1,1,1,.74868,1.2151998,-2.0281372,0,0,-3.2433369,-1.2151998,0
538,0,male,32,15,yes,3,14,6,3,0,1,1,1,.64776117,.83784842,-1.3591292,0,0,-2.1969776,-.83784842,0
543,0,female,22,1.5,no,2,14,5,4,0,0,0,1,.79376149,1.7215452,-.79133427,0,0,-2.5128794,-1.7215452,0
547,0,female,32,10,yes,4,17,1,5,0,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,0
550,0,female,37,15,yes,4,17,6,5,0,0,1,1,.86772609,2.1896698,-1.017185,0,0,-3.2068548,-2.1896698,0
553,7,female,32,10,yes,4,18,4,5,2,0,1,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,1
558,0,female,32,1.5,no,5,18,5,5,0,0,0,1,.86559874,2.2350566,-.79560632,0,0,-3.030663,-2.2350566,0
571,0,male,42,10,yes,5,20,7,4,0,1,1,1,.75465506,1.3513598,-1.3634012,0,0,-2.714761,-1.3513598,0
576,1,male,32,1,yes,3,12,3,4,1,1,1,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,1
578,0,female,27,10,no,3,16,5,4,0,0,0,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
583,0,male,37,15,no,4,20,6,5,0,1,0,1,.83185327,2.0010314,-.7029373,0,0,-2.7039688,-2.0010314,0
586,0,male,37,15,yes,4,14,3,2,0,1,1,1,.51588571,.18817686,-2.019593,0,0,-2.2077699,-.18817686,0
594,0,male,32,10,no,5,18,6,4,0,1,0,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,0
597,0,female,22,1,no,4,16,1,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
602,0,female,27,10,yes,4,12,2,4,0,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
603,0,female,27,10,yes,2,16,2,5,0,0,1,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
604,0,female,42,15,yes,5,18,5,4,0,0,1,1,.79717439,1.5399984,-1.6776489,0,0,-3.2176473,-1.5399984,0
611,3,male,47,15,yes,5,16,5,4,2,1,1,1,.7539022,1.3059732,-1.5849799,0,0,-2.8909531,-1.3059732,1
612,0,male,42,15,yes,4,17,5,3,0,1,1,1,.64437896,.74707502,-1.8022865,0,0,-2.5493615,-.74707502,0
613,0,female,27,10,yes,2,16,1,2,0,0,1,1,.5810256,.46758875,-1.8906834,0,0,-2.3582721,-.46758875,0
621,0,female,22,1.5,no,3,16,5,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
625,12,male,37,15,yes,2,20,5,4,2,1,1,1,.75393182,1.3967466,-1.1418226,0,0,-2.5385692,-1.3967466,1
627,0,male,37,15,yes,5,20,6,5,0,1,1,1,.83185327,2.0010314,-.7029373,0,0,-2.7039688,-2.0010314,0
630,0,female,22,1,no,2,14,4,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
631,0,male,27,1.5,no,4,16,5,5,0,1,0,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
632,0,male,32,1.5,no,2,18,6,5,0,1,0,1,.82710719,2.0464182,-.48135862,0,0,-2.5277767,-2.0464182,0
635,7,male,22,4,yes,2,17,6,4,2,1,1,1,.7407974,1.5329068,-.4770866,0,0,-2.0099933,-1.5329068,1
639,0,male,27,1.5,no,2,17,6,5,0,1,0,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
645,0,female,27,10,yes,4,16,1,3,0,0,1,1,.70297229,1.0718737,-1.4517982,0,0,-2.5236719,-1.0718737,0
646,1,male,27,4,no,2,14,4,5,1,1,0,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,1
647,0,male,42,15,yes,4,18,6,5,0,1,1,1,.83500403,1.9556447,-.9245159,0,0,-2.8801608,-1.9556447,0
648,0,female,27,1.5,no,2,16,6,5,0,0,0,1,.86219895,2.2804434,-.57402766,0,0,-2.854471,-2.2804434,0
651,0,male,27,4,no,2,18,6,3,0,1,0,1,.64683282,.88323516,-1.1375505,0,0,-2.0207856,-.88323516,0
655,0,female,32,10,yes,3,14,5,3,0,0,1,1,.70151907,1.0264869,-1.6733768,0,0,-2.6998637,-1.0264869,0
657,7,female,52,15,yes,5,16,1,3,2,0,1,1,.68361944,.84494007,-2.5596914,0,0,-3.4046314,-.84494007,1
659,1,male,27,4,no,3,14,3,3,1,1,0,1,.64683282,.88323516,-1.1375505,0,0,-2.0207856,-.88323516,1
666,1,female,27,10,yes,4,16,1,4,1,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,1
667,0,female,32,15,yes,3,18,5,4,0,0,1,1,.79824609,1.6307718,-1.2344916,0,0,-2.8652632,-1.6307718,0
670,0,female,22,1,no,2,18,6,5,0,0,0,1,.85735089,2.32583,-.352449,0,0,-2.6782792,-2.32583,0
671,0,female,37,15,yes,2,16,1,4,0,0,1,1,.79831767,1.5853851,-1.4560702,0,0,-3.0414553,-1.5853851,0
673,0,male,27,4,yes,4,20,5,5,0,1,1,1,.82055843,2.091805,-.25977999,0,0,-2.3515849,-2.091805,0
679,1,male,32,10,yes,3,14,7,4,1,1,1,1,.75152999,1.4421333,-.92024392,0,0,-2.3623772,-1.4421333,1
701,0,male,27,4,no,1,20,5,4,0,1,0,1,.74722958,1.48752,-.69866526,0,0,-2.1861854,-1.48752,0
705,0,female,27,10,yes,2,12,1,4,0,0,1,1,.7967903,1.6761584,-1.0129129,0,0,-2.6890714,-1.6761584,0
706,0,female,32,15,yes,5,18,6,4,0,0,1,1,.79824609,1.6307718,-1.2344916,0,0,-2.8652632,-1.6307718,0
709,0,male,27,10,yes,5,12,5,3,0,1,1,1,.64683282,.88323516,-1.1375505,0,0,-2.0207856,-.88323516,0
